Episode,Reward
0-99,-96.08080808080808
100-199,-89.21212121212122
200-299,-74.65656565656566
300-399,-54.77777777777778
400-499,-41.0
500-599,-32.5959595959596
600-699,-27.282828282828284
700-799,-25.7979797979798
800-899,-23.272727272727273
900-999,-21.737373737373737
1000-1099,-17.949494949494948
1100-1199,-17.08080808080808
1200-1299,-16.98989898989899
1300-1399,-15.818181818181818
1400-1499,-14.969696969696969
1500-1599,-14.818181818181818
1600-1699,-14.272727272727273
1700-1799,-14.232323232323232
1800-1899,-12.858585858585858
1900-1999,-12.909090909090908
2000-2099,-13.131313131313131
2100-2199,-12.919191919191919
2200-2299,-12.868686868686869
2300-2399,-12.313131313131313
2400-2499,-12.01010101010101
2500-2599,-11.98989898989899
2600-2699,-12.16161616161616
2700-2799,-12.0
2800-2899,-11.787878787878787
2900-2999,-11.606060606060606
3000-3099,-11.636363636363637
3100-3199,-11.535353535353535
3200-3299,-11.656565656565656
3300-3399,-11.484848484848484
3400-3499,-11.303030303030303
3500-3599,-11.373737373737374
3600-3699,-11.323232323232324
3700-3799,-11.353535353535353
3800-3899,-11.222222222222221
3900-3999,-11.212121212121213
4000-4099,-11.232323232323232
4100-4199,-11.292929292929292
4200-4299,-11.181818181818182
4300-4399,-11.141414141414142
4400-4499,-11.121212121212121
4500-4599,-11.05050505050505
4600-4699,-11.202020202020202
4700-4799,-11.1010101010101
4800-4899,-11.090909090909092
4900-4999,-11.181818181818182
5000-5099,-11.05050505050505
5100-5199,-11.222222222222221
5200-5299,-11.090909090909092
5300-5399,-11.151515151515152
5400-5499,-11.11111111111111
5500-5599,-11.16161616161616
5600-5699,-11.05050505050505
5700-5799,-11.05050505050505
5800-5899,-11.171717171717171
5900-5999,-11.181818181818182
6000-6099,-11.06060606060606
6100-6199,-11.06060606060606
6200-6299,-11.070707070707071
6300-6399,-11.212121212121213
6400-6499,-11.1010101010101
6500-6599,-11.121212121212121
6600-6699,-11.05050505050505
6700-6799,-11.070707070707071
6800-6899,-11.16161616161616
6900-6999,-11.141414141414142
7000-7099,-11.121212121212121
7100-7199,-11.070707070707071
7200-7299,-11.090909090909092
7300-7399,-11.11111111111111
7400-7499,-11.070707070707071
7500-7599,-11.080808080808081
7600-7699,-11.11111111111111
7700-7799,-11.141414141414142
7800-7899,-11.16161616161616
7900-7999,-11.16161616161616
8000-8099,-11.141414141414142
8100-8199,-11.05050505050505
8200-8299,-11.232323232323232
8300-8399,-11.181818181818182
8400-8499,-11.11111111111111
8500-8599,-11.16161616161616
8600-8699,-11.1010101010101
8700-8799,-11.16161616161616
8800-8899,-11.202020202020202
8900-8999,-11.141414141414142
9000-9099,-11.171717171717171
9100-9199,-11.131313131313131
9200-9299,-11.080808080808081
9300-9399,-11.090909090909092
9400-9499,-11.141414141414142
9500-9599,-11.121212121212121
9600-9699,-11.222222222222221
9700-9799,-11.151515151515152
9800-9899,-11.171717171717171
9900-9999,-11.11111111111111
